Year,Month,Attendance Rate %,student_add,student_drop,number of students
2019,1,95.95,22,12,973
2019,2,96.45,8,22,969
2019,3,95,15,13,962
2019,4,93.66,8,19,957
2019,5,93.64,8,19,946
2020,1,88.58,20,6,929
2020,2,88.59,17,6,939
2020,3,94.32,7,4,940
2020,4,94.62,8,6,944
2020,5,92.52,1,6,939
