Grade,Term 1,Term 2,
7,2.429,1.857,2.143
6,3.571,2.429,3
8,2.429,3.143,2.786
6,2.714,2.286,2.5
8,0.571,1,0.7855
6,3.571,3.714,3.6425
8,3.333,4,3.6665
6,2.286,2.143,2.2145
8,3.167,3.143,3.155
6,4,3.143,3.5715
6,4,3.857,3.9285
6,4,4,4
7,0.143,0.143,0.143
8,0.857,1.143,1
7,2.571,2.857,2.714
7,2.857,2.429,2.643
7,3,3.143,3.0715
6,1.143,1.143,1.143
8,0.429,1,0.7145
7,1.857,2.286,2.0715
7,2.571,2,2.2855
8,0.286,1,0.643
6,2.143,2.571,2.357
6,3.857,3.857,3.857
7,3.857,3.571,3.714
6,2.714,2.143,2.4285
8,0.571,0.571,0.571
7,3.571,3.714,3.6425
7,1,2.143,1.5715
8,1.571,1.857,1.714
8,1.857,1.143,1.5
7,2.714,2.714,2.714
7,2.571,1.571,2.071
6,4,4,4
8,2.143,2.429,2.286
7,,2.286,2.286
8,,3.286,3.286
6,3.286,3.429,3.3575
7,1.571,1.571,1.571
7,1,1.571,1.2855
6,2.571,2.143,2.357
8,3,2.857,2.9285
7,4,4,4
8,2.571,2.857,2.714
7,3.429,3.286,3.3575
6,1.857,1.714,1.7855
6,2,1.429,1.7145
6,3.429,2.571,3
8,1.286,1,1.143
6,3.571,3.571,3.571
6,3.857,3.571,3.714
6,1.857,2,1.9285
8,3.5,4,3.75
6,1.571,1.714,1.6425
7,2.167,2.429,2.298
8,1.857,1.429,1.643
7,0,0.429,0.2145
7,3.571,3,3.2855
6,4,3.857,3.9285
8,2.714,2,2.357
8,3.714,3.714,3.714
8,1.429,0.857,1.143
7,3,2.143,2.5715
7,2.143,2.429,2.286
8,1.833,1.714,1.7735
8,0.286,0.571,0.4285
8,4,4,4
8,3.286,3.286,3.286
7,1.429,1.429,1.429
6,2.286,1.857,2.0715
7,0.714,1,0.857
7,1.143,1,1.0715
6,3.143,3,3.0715
8,1.857,1.143,1.5
6,1.833,1.857,1.845
8,1.286,2,1.643
6,2.714,2.143,2.4285
8,2.143,2.857,2.5
6,1.571,1.714,1.6425
7,1.571,2.286,1.9285
6,1.714,1.714,1.714
6,2.286,2.143,2.2145
7,1.5,1.143,1.3215
7,3,2.571,2.7855
7,2.714,2.857,2.7855
6,3.143,2.857,3
6,2.429,2.429,2.429
8,3.286,2.714,3
8,2.429,2,2.2145
8,3.833,3.857,3.845
7,3.429,3.714,3.5715
7,1.8,2,1.9
8,4,3.571,3.7855
7,3.714,3.571,3.6425
7,4,4,4
6,3.286,3.571,3.4285
6,1.571,1.429,1.5
6,1.286,1,1.143
6,3.429,3.714,3.5715
7,1.714,1.143,1.4285
7,0.833,1,0.9165
6,3.143,2.857,3
8,3.286,2.286,2.786
6,3,3.143,3.0715
6,1.167,1.714,1.4405
8,2,2.143,2.0715
7,0.667,1.429,1.048
6,3,3,3
6,2,1.714,1.857
8,1.857,1.143,1.5
6,2.143,1.857,2
6,2.857,1.857,2.357
8,1.857,2.143,2
6,2,2.286,2.143
6,2.857,3,2.9285
8,1.429,1.571,1.5
8,3.714,3.857,3.7855
8,1.429,1.714,1.5715
7,3.286,3.571,3.4285
8,2.143,3.286,2.7145
6,3.714,3.286,3.5
7,0.857,1.143,1
8,2.667,3,2.8335
6,1.571,2,1.7855
7,3.571,3.571,3.571
8,0.571,0.714,0.6425
7,1.333,1.429,1.381
7,4,1.143,2.5715
8,,2.429,2.429
6,1,1.714,1.357
7,2.143,2.571,2.357
7,3.833,3.714,3.7735
6,3.857,3.857,3.857
8,3.714,3.857,3.7855
7,2.833,2.429,2.631
6,3.286,2.571,2.9285
7,2.714,2.286,2.5
7,2.571,2.571,2.571
6,0.5,1.286,0.893
8,1.833,2.143,1.988
8,3.667,2.571,3.119
8,3.714,3.143,3.4285
7,2.286,1.857,2.0715
6,4,3.857,3.9285
7,2.143,1.571,1.857
6,0.286,0.143,0.2145
7,3.857,3.857,3.857
6,2.714,2.286,2.5
8,1.429,1.286,1.3575
6,3.143,2.857,3
6,2.571,2.714,2.6425
7,0.714,0.429,0.5715
6,2.714,2.714,2.714
7,3,3,3
7,2.143,2.143,2.143
8,0.714,1.286,1
6,2.429,2.571,2.5
8,4,3.857,3.9285
6,3.857,4,3.9285
7,3.571,3.571,3.571
7,3.286,3,3.143
6,1,1.571,1.2855
8,3.429,3.143,3.286
7,2.429,2.857,2.643
6,1.571,1.286,1.4285
8,3.714,3.857,3.7855
6,,0.5,0.5
7,3.714,4,3.857
6,2.143,1.571,1.857
6,3,2.571,2.7855
8,1.714,1.143,1.4285
8,1.857,1.571,1.714
8,3.143,3.286,3.2145
6,2.143,1.857,2
8,3.143,2.286,2.7145
6,2.857,2.286,2.5715
6,4,4,4
8,2.571,2.714,2.6425
7,3.571,3.143,3.357
7,1.143,0.429,0.786
6,1.714,0.857,1.2855
7,3.571,3.286,3.4285
6,2.571,1.571,2.071
8,2.571,2.714,2.6425
7,2.167,2.143,2.155
6,2,1.286,1.643
7,3,3.429,3.2145
7,2.143,1.857,2
6,1.571,2.429,2
8,0.857,1,0.9285
7,3.167,3.571,3.369
6,2.571,2.857,2.714
8,1.857,1.429,1.643
6,0,0.2,0.1
7,0.429,1.143,0.786
8,1,1.75,1.375
7,1.714,2,1.857
8,2,1.857,1.9285
6,0.857,1,0.9285
8,0.714,0.286,0.5
6,2.429,1.429,1.929
6,1.667,1.857,1.762
6,0.5,0.714,0.607
6,2.429,2,2.2145
7,1.714,1.143,1.4285
6,3.857,4,3.9285
6,3.286,2.143,2.7145
6,2.429,2,2.2145
8,3,2.714,2.857
6,1.571,1.429,1.5
6,2,1.429,1.7145
7,3.143,3.714,3.4285
7,1.571,1.429,1.5
6,4,3.571,3.7855
6,2.286,1.286,1.786
6,2.286,2.143,2.2145
8,3.571,3.143,3.357
6,3.714,3.571,3.6425
7,2.571,2,2.2855
8,3.143,3.286,3.2145
8,3.143,3.286,3.2145
6,3.571,3.429,3.5
8,1.429,1.857,1.643
7,,2.571,2.571
6,0.714,1,0.857
6,3.714,3.857,3.7855
6,4,4,4
6,3.143,2.429,2.786
6,3.714,3.857,3.7855
7,2.143,2,2.0715
6,,2.429,2.429
6,1.286,1.571,1.4285
7,2,2.571,2.2855
7,3.429,2.714,3.0715
6,2.286,2.571,2.4285
6,2.143,1,1.5715
6,2.143,2.429,2.286
8,2.286,2,2.143
8,3.429,3.429,3.429
7,2.286,2,2.143
6,2.571,1.286,1.9285
8,2.857,3.714,3.2855
7,3.714,3.571,3.6425
7,2.667,2.286,2.4765
6,1.833,1.571,1.702
6,2.143,2.571,2.357
8,0.333,1,0.6665
6,3.429,3.857,3.643
6,1.286,1.429,1.3575
7,3.857,3.714,3.7855
6,0.714,0.8,0.757
6,0.571,0.8,0.6855
8,2.857,3.143,3
7,3.286,3.571,3.4285
8,1.857,1,1.4285
8,2.143,1.857,2
8,3.429,3.286,3.3575
7,4,4,4
8,2.714,2.571,2.6425
7,0.667,0.857,0.762
7,0.857,1.286,1.0715
7,3.143,3.143,3.143
7,0.571,0.857,0.714
6,3,2.857,2.9285
7,1.143,1,1.0715
8,1.429,3.714,2.5715
6,1.857,1.714,1.7855
8,2.833,3,2.9165
7,1.429,1.571,1.5
7,2.429,2,2.2145
8,1.429,1.429,1.429
8,2,2.143,2.0715
6,0.571,1,0.7855
6,1.571,1.429,1.5
8,0.571,0.571,0.571
6,0.143,0,0.0715
6,1.143,1.286,1.2145
7,3.143,2.714,2.9285
7,2.571,2.143,2.357
6,2.857,2.429,2.643
6,2.286,3,2.643
6,3,2.714,2.857
6,1.714,1.429,1.5715
8,1,1.286,1.143
7,2.429,2.857,2.643
6,1.857,2.429,2.143
8,2.714,2.143,2.4285
6,2.286,1.429,1.8575
6,3,2.286,2.643
8,1,1.333,1.1665
7,1.714,2.571,2.1425
6,3,3.286,3.143
7,2,1.143,1.5715
7,1,1.571,1.2855
7,3.167,3.429,3.298
7,2.857,3.143,3
7,2.571,2.571,2.571
6,2.714,2.857,2.7855
7,2.857,2.714,2.7855
6,3.571,3.571,3.571
6,3.571,3.429,3.5
6,1.857,2.429,2.143
8,0.5,0.333,0.4165
7,3,2.714,2.857
8,2.857,1.857,2.357
7,2.667,2.143,2.405
8,3.286,3,3.143
7,2.6,1.857,2.2285
7,1.857,1.857,1.857
6,1,1.429,1.2145
6,2.286,2.429,2.3575
8,1.143,1,1.0715
7,1,1.571,1.2855
6,3.857,3.857,3.857
7,2.143,2.429,2.286
6,1.143,1,1.0715
7,3,3.571,3.2855
7,0.571,0.167,0.369
6,2.143,1.857,2
6,1.429,1.143,1.286
6,1.857,2.143,2
7,1.571,1.714,1.6425
6,2,2,2
8,1.833,2.429,2.131
7,0.714,0.286,0.5
7,1.286,1.429,1.3575
6,1.143,1.286,1.2145
8,0.857,1.714,1.2855
6,1.286,1.429,1.3575
8,1.286,1.571,1.4285
8,1,1.571,1.2855
7,1,1.714,1.357
7,3,3.571,3.2855
7,2.857,2.429,2.643
7,1.143,2.143,1.643
6,1.571,2.429,2
8,2.286,2.429,2.3575
7,1.167,1.143,1.155
6,3.571,3.857,3.714
6,,,#DIV/0!
6,4,4,4
8,0.571,0.286,0.4285
6,1,1.286,1.143
6,0.714,0.833,0.7735
8,3.833,4,3.9165
6,1.429,1.143,1.286
6,1.857,1.143,1.5
6,2.857,2.857,2.857
8,0.571,0.857,0.714
7,0.286,0.333,0.3095
7,3.429,3.286,3.3575
6,1.143,0.857,1
6,1.571,1.714,1.6425
8,2.571,2.857,2.714
6,2.143,1.286,1.7145
8,1.167,1.143,1.155
6,1.429,1.286,1.3575
6,2.429,2.286,2.3575
8,2.857,2.714,2.7855
6,3.857,3.714,3.7855
7,2.857,2.857,2.857
6,3,1.857,2.4285
6,2.143,1.429,1.786
6,3.143,2.857,3
6,3.714,3.429,3.5715
7,2,1,1.5
6,4,4,4
7,2,2.143,2.0715
8,2.571,1.714,2.1425
7,3.429,2.857,3.143
8,1.571,1.286,1.4285
6,1.571,1.857,1.714
8,2,1.571,1.7855
6,3.857,3.571,3.714
8,3.571,3.286,3.4285
7,1.714,1.286,1.5
6,3.429,3.571,3.5
7,3.857,3.857,3.857
6,3.714,3.714,3.714
7,1.571,2.143,1.857
8,3.571,3.429,3.5
7,3.5,3.286,3.393
7,3.143,3.143,3.143
6,3.286,3.286,3.286
8,2.5,1.714,2.107
8,1.286,1.143,1.2145
6,3.143,2.286,2.7145
6,3.857,3.857,3.857
6,1,1.143,1.0715
7,0.857,1,0.9285
